1,73,Susu,
2,74,Susu,
3,75,Susu,
4,2,Susu,
5,61,Susu,
6,358,Susu,
7,109,Kacang Tanah,
8,109,Serealia mengandung gluten,
9,109,Tree nut,
10,115,Kedelai,
11,115,Serealia mengandung gluten,
12,119,Kedelai,
13,119,Serealia mengandung gluten,
14,65,Susu,
15,241,Susu,
16,139,Susu,
17,316,Lesitin Kedelai,
18,491,Sulfit,
19,85,,Serealia mengandung gluten
20,85,,Kacang Tanah
21,85,Susu,
22,87,Kedelai,
23,87,Serealia mengandung gluten,
24,3,Susu,
25,4,Susu,
26,37,Susu,
27,38,Susu,
28,55,Susu,
29,67,Susu,
30,40,Susu,
31,62,Susu,
32,885,Susu,
33,903,Susu,
34,223,Sulfit,
35,640,Lesitin Kedelai,
36,6441,Lesitin Kedelai,
37,789,Susu,
38,649,Lesitin Kedelai,
39,757,Susu,
40,787,Susu,
41,671,Lesitin Kedelai,
42,672,Lesitin Kedelai,
43,673,Lesitin Kedelai,
44,674,Lesitin Kedelai,
45,675,Lesitin Kedelai,
46,775,Lesitin Kedelai,
47,775,Susu,
48,774,Sulfit,
49,691,Lesitin Kedelai,
50,692,Lesitin Kedelai,
51,698,Lesitin Kedelai,
52,699,Lesitin Kedelai,
53,701,Lesitin Kedelai,
54,716,Lesitin Kedelai,
55,779,Serealia mengandung gluten,
56,734,Lesitin Kedelai,
57,77,Susu,
58,8,Susu,
59,51,Susu,
60,10,Susu,
61,11,Susu,
62,12,Susu,
63,13,Susu,
64,28,Susu,
65,30,Susu,
66,14,Susu,
67,32,Susu,
68,15,Susu,
69,33,Susu,
70,16,Susu,
71,41,Susu,
72,43,Susu,
73,54,Susu,
74,53,Susu,
75,57,Susu,
76,58,Susu,
77,59,Susu,
78,60,Susu,
79,520,Krustasea,
80,524,Krustasea,
81,117,Serealia mengandung gluten,
82,154,Sulfit,
83,35,Lesitin Kedelai,
84,35,Susu,
85,31,Susu,
86,45,Susu,
87,63,Susu,
88,69,Lesitin Kedelai,
89,69,Susu,
90,361,Kedelai,
91,376,Kedelai,
92,355,Kedelai,
93,116,Serealia mengandung gluten,
94,21,Lesitin Kedelai,
95,21,Susu,
96,34,Lesitin Kedelai,
97,34,Susu,
98,24,Susu,
99,56,Susu,
100,362,Lesitin Kedelai,
101,362,Susu,
102,363,Lesitin Kedelai,
103,363,Susu,
104,374,Lesitin Kedelai,
105,374,Susu,
106,1078,Susu,
107,1076,Susu,
108,1077,Susu,
109,25,Susu,
110,519,Susu,
111,521,Susu,
112,162,Sulfit,
113,888,Serealia mengandung gluten,
114,900,Serealia mengandung gluten,
115,890,Serealia mengandung gluten,
116,891,Serealia mengandung gluten,
117,892,Serealia mengandung gluten,
118,904,Serealia mengandung gluten,
119,78,Kedelai,
120,78,Susu,
121,46,Susu,
122,47,Susu,
123,48,Susu,
124,49,Susu,
125,367,Susu,
126,375,Susu,
127,114,Serealia mengandung gluten,
128,388,Serealia mengandung gluten,
129,389,Serealia mengandung gluten,
130,505,Minyak Ikan,
131,517,Lesitin Kedelai,
132,517,Susu,
133,517,Minyak Ikan,
134,522,Susu,
135,522,Minyak Ikan,
136,549,Sulfit,
137,550,Sulfit,
138,349,Tree nut,
139,348,Kacang Tanah,
140,902,Kedelai,
141,64,Susu,
142,66,Susu,
143,68,Susu,
144,351,Tree nut,
145,102,Kedelai,
146,352,Kacang Tanah,
147,371,Susu,
148,373,Susu,
149,609,Sulfit,
150,622,Sulfit,
151,634,Sulfit,
152,612,Serealia mengandung gluten,
153,635,Serealia mengandung gluten,
154,372,Susu,
155,370,Susu,
156,350,Wijen,
